pathway_id	pathway_description	pvalue	hub_gene	comparison
M16108	CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN	9.99000999000999e-4	SNX1	PBTA_HGG
M265	ODONNELL_METASTASIS_UP	9.99000999000999e-4	TM7SF2	PBTA_HGG
M1595	BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP	9.99000999000999e-4	SLC7A7	PBTA_HGG
M1784	KAN_RESPONSE_TO_ARSENIC_TRIOXIDE	9.99000999000999e-4	GALNT2	PBTA_HGG
M8779	LI_LUNG_CANCER	9.99000999000999e-4	ARHGDIB	PBTA_HGG
M8411	LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q	9.99000999000999e-4	ANXA6	PBTA_HGG
M7778	EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_DN	9.99000999000999e-4	GSN	PBTA_HGG
M16123	EBAUER_MYOGENIC_TARGETS_OF_PAX3_FOXO1_FUSION	9.99000999000999e-4	FLT3LG	PBTA_HGG
M2631	FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	9.99000999000999e-4	SLC7A7	PBTA_HGG
M5652	FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	9.99000999000999e-4	AP2M1	PBTA_HGG
M15801	SCHLOSSER_SERUM_RESPONSE_AUGMENTED_BY_MYC	9.99000999000999e-4	CSF3R	PBTA_HGG
M11079	KEGG_N_GLYCAN_BIOSYNTHESIS	0.001998001998001998	CHST2	PBTA_HGG
M3896	KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.001998001998001998	STIL	PBTA_HGG
M15913	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.001998001998001998	LCAT	PBTA_HGG
M9011	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.001998001998001998	CD86	PBTA_HGG
M12705	SIG_CD40PATHWAYMAP	0.001998001998001998	JUNB	PBTA_HGG
M82	PID_RET_PATHWAY	0.001998001998001998	PLK3	PBTA_HGG
M144	PID_CERAMIDE_PATHWAY	0.001998001998001998	PKM	PBTA_HGG
M520	REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	0.001998001998001998	AEBP1	PBTA_HGG
M649	REACTOME_PHOSPHOLIPID_METABOLISM	0.001998001998001998	ARL1	PBTA_HGG
M10320	REACTOME_BIOLOGICAL_OXIDATIONS	0.001998001998001998	SLC7A7	PBTA_HGG
M746	REACTOME_SIGNALING_BY_GPCR	0.001998001998001998	NMI	PBTA_HGG
M720	REACTOME_METABOLISM_OF_PROTEINS	0.001998001998001998	AMFR	PBTA_HGG
M812	REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.001998001998001998	SPCS2	PBTA_HGG
M920	REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.001998001998001998	STS	PBTA_HGG
M951	REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	0.001998001998001998	RNF13	PBTA_HGG
M1035	REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.001998001998001998	LIMS1	PBTA_HGG
M15343	REACTOME_ACTIVATED_TLR4_SIGNALLING	0.001998001998001998	NPC1	PBTA_HGG
M18788	REACTOME_PHASE_II_CONJUGATION	0.001998001998001998	SLC7A7	PBTA_HGG
M1073	REACTOME_POTASSIUM_CHANNELS	0.001998001998001998	STS	PBTA_HGG
M1095	REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION	0.001998001998001998	DYNLL1	PBTA_HGG
M2683	WINTER_HYPOXIA_DN	0.001998001998001998	SLC6A1	PBTA_HGG
M2605	ONKEN_UVEAL_MELANOMA_DN	0.001998001998001998	ATP6V1B2	PBTA_HGG
M3019	ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	0.001998001998001998	CSF2RA	PBTA_HGG
M8519	DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	0.001998001998001998	PTPRC	PBTA_HGG
M18685	ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	0.001998001998001998	GALNT2	PBTA_HGG
M14032	ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	0.001998001998001998	PPP1R7	PBTA_HGG
M1584	LIU_VMYB_TARGETS_UP	0.001998001998001998	GALNT2	PBTA_HGG
M7600	DOANE_RESPONSE_TO_ANDROGEN_UP	0.001998001998001998	LTBR	PBTA_HGG
M10702	JAEGER_METASTASIS_DN	0.001998001998001998	TFG	PBTA_HGG
M15410	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	0.001998001998001998	RAB11A	PBTA_HGG
M19170	MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_UP	0.001998001998001998	HTATIP2	PBTA_HGG
M13206	KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	0.001998001998001998	IL12RB1	PBTA_HGG
M17600	NAGASHIMA_NRG1_SIGNALING_DN	0.001998001998001998	SLC11A1	PBTA_HGG
M7030	ELVIDGE_HYPOXIA_BY_DMOG_DN	0.001998001998001998	FCGR1A	PBTA_HGG
M6744	COLDREN_GEFITINIB_RESISTANCE_DN	0.001998001998001998	IL6R	PBTA_HGG
M17788	LINDGREN_BLADDER_CANCER_CLUSTER_1_DN	0.001998001998001998	HLA-E	PBTA_HGG
M854	LINDGREN_BLADDER_CANCER_CLUSTER_3_UP	0.001998001998001998	HLA-E	PBTA_HGG
M12272	MISSIAGLIA_REGULATED_BY_METHYLATION_UP	0.001998001998001998	CASP1	PBTA_HGG
M836	OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.001998001998001998	ANXA6	PBTA_HGG
M1311	WONG_ENDMETRIUM_CANCER_DN	0.001998001998001998	BCL2L1	PBTA_HGG
M14265	APPIERTO_RESPONSE_TO_FENRETINIDE_DN	0.001998001998001998	ABCA2	PBTA_HGG
M6712	ROVERSI_GLIOMA_LOH_REGIONS	0.001998001998001998	TM7SF2	PBTA_HGG
M4995	LINDGREN_BLADDER_CANCER_CLUSTER_2B	0.001998001998001998	AKT2	PBTA_HGG
M11521	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.002997002997002997	PSME2	PBTA_HGG
M7963	KEGG_CELL_CYCLE	0.002997002997002997	DCTD	PBTA_HGG
M7946	KEGG_NOTCH_SIGNALING_PATHWAY	0.002997002997002997	GALNT2	PBTA_HGG
M3578	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.002997002997002997	PFN1	PBTA_HGG
M7272	KEGG_PARKINSONS_DISEASE	0.002997002997002997	CD81	PBTA_HGG
M3812	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.002997002997002997	GMFB	PBTA_HGG
M14631	KEGG_COLORECTAL_CANCER	0.002997002997002997	APEH	PBTA_HGG
M17807	KEGG_BASAL_CELL_CARCINOMA	0.002997002997002997	DOCK2	PBTA_HGG
M19818	KEGG_NON_SMALL_CELL_LUNG_CANCER	0.002997002997002997	PLK3	PBTA_HGG
M129	PID_PLK1_PATHWAY	0.002997002997002997	CTDSPL	PBTA_HGG
M142	PID_AJDISS_2PATHWAY	0.002997002997002997	RNPEP	PBTA_HGG
M153	PID_P75_NTR_PATHWAY	0.002997002997002997	HSD17B10	PBTA_HGG
M516	REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.002997002997002997	PSME2	PBTA_HGG
M13087	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.002997002997002997	BTK	PBTA_HGG
M727	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.002997002997002997	SORBS3	PBTA_HGG
M15514	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.002997002997002997	CAPZB	PBTA_HGG
M772	REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING	0.002997002997002997	CDC6	PBTA_HGG
M600	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.002997002997002997	SPCS2	PBTA_HGG
M865	REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	0.002997002997002997	APOE	PBTA_HGG
M19806	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.002997002997002997	AMFR	PBTA_HGG
M933	REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS	0.002997002997002997	STS	PBTA_HGG
M998	REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	0.002997002997002997	ATP1A1	PBTA_HGG
M16864	REACTOME_METABOLISM_OF_CARBOHYDRATES	0.002997002997002997	ACSL1	PBTA_HGG
M1045	REACTOME_IMMUNE_SYSTEM	0.002997002997002997	PARP4	PBTA_HGG
M1058	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.002997002997002997	PARP4	PBTA_HGG
M4991	DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	0.002997002997002997	PLOD3	PBTA_HGG
M19016	GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	0.002997002997002997	RNASET2	PBTA_HGG
M2012	DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	0.002997002997002997	FCGR1B	PBTA_HGG
M14801	HOOI_ST7_TARGETS_DN	0.002997002997002997	MLEC	PBTA_HGG
M17778	DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN	0.002997002997002997	OGDH	PBTA_HGG
M15066	LIU_CMYB_TARGETS_UP	0.002997002997002997	GALNT2	PBTA_HGG
M10279	HORIUCHI_WTAP_TARGETS_DN	0.002997002997002997	RING1	PBTA_HGG
M15927	RODRIGUES_DCC_TARGETS_DN	0.002997002997002997	BTD	PBTA_HGG
M7089	OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN	0.002997002997002997	IL12RB1	PBTA_HGG
M6670	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	0.002997002997002997	TYROBP	PBTA_HGG
M3053	MULLIGHAN_MLL_SIGNATURE_2_UP	0.002997002997002997	ARL1	PBTA_HGG
M4723	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	0.002997002997002997	MYO6	PBTA_HGG
M9936	PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP	0.002997002997002997	TYROBP	PBTA_HGG
M7140	ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	0.002997002997002997	SPCS2	PBTA_HGG
M9128	KIM_WT1_TARGETS_UP	0.002997002997002997	CASP1	PBTA_HGG
M8857	KIM_WT1_TARGETS_8HR_UP	0.002997002997002997	PTTG1IP	PBTA_HGG
M17905	ELVIDGE_HIF1A_TARGETS_UP	0.002997002997002997	FCGR1A	PBTA_HGG
M15866	BIDUS_METASTASIS_UP	0.002997002997002997	HLA-E	PBTA_HGG
M14427	DODD_NASOPHARYNGEAL_CARCINOMA_DN	0.002997002997002997	BTK	PBTA_HGG
M13944	GOZGIT_ESR1_TARGETS_UP	0.002997002997002997	CHAF1A	PBTA_HGG
M16574	PACHER_TARGETS_OF_IGF1_AND_IGF2_UP	0.002997002997002997	CHML	PBTA_HGG
M15031	STREICHER_LSM1_TARGETS_UP	0.002997002997002997	IGFBP7	PBTA_HGG
M4203	LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_UP	0.002997002997002997	LCP2	PBTA_HGG
M18155	KEGG_INSULIN_SIGNALING_PATHWAY	0.003996003996003996	RNASET2	PBTA_HGG
M1979	KEGG_GNRH_SIGNALING_PATHWAY	0.003996003996003996	MAD2L1BP	PBTA_HGG
M12868	KEGG_PATHWAYS_IN_CANCER	0.003996003996003996	AP2M1	PBTA_HGG
M4383	BIOCARTA_NO1_PATHWAY	0.003996003996003996	TAP1	PBTA_HGG
M18719	BIOCARTA_HER2_PATHWAY	0.003996003996003996	DCC	PBTA_HGG
M19043	ST_ADRENERGIC	0.003996003996003996	SNAPC5	PBTA_HGG
M81	PID_CDC42_PATHWAY	0.003996003996003996	APEH	PBTA_HGG
M195	PID_CMYB_PATHWAY	0.003996003996003996	RAB13	PBTA_HGG
M277	PID_INTEGRIN_A4B1_PATHWAY	0.003996003996003996	PARP4	PBTA_HGG
M522	REACTOME_CELL_CELL_COMMUNICATION	0.003996003996003996	APEH	PBTA_HGG
M12289	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.003996003996003996	TRIM14	PBTA_HGG
M6467	REACTOME_OPIOID_SIGNALLING	0.003996003996003996	ASH2L	PBTA_HGG
M749	REACTOME_CA_DEPENDENT_EVENTS	0.003996003996003996	ELP1	PBTA_HGG
M14765	REACTOME_PLC_BETA_MEDIATED_EVENTS	0.003996003996003996	ELP1	PBTA_HGG
M800	REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.003996003996003996	PRKAR1B	PBTA_HGG
M2843	REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.003996003996003996	DRAP1	PBTA_HGG
M19283	REACTOME_METABOLISM_OF_MRNA	0.003996003996003996	ATP1A1	PBTA_HGG
M507	REACTOME_GPCR_LIGAND_BINDING	0.003996003996003996	RNF10	PBTA_HGG
M12469	REACTOME_HIV_INFECTION	0.003996003996003996	ALDH3B1	PBTA_HGG
M4076	REACTOME_HIV_LIFE_CYCLE	0.003996003996003996	APOE	PBTA_HGG
M14781	REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	0.003996003996003996	APOE	PBTA_HGG
M1056	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.003996003996003996	SPTLC2	PBTA_HGG
M1066	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.003996003996003996	DAG1	PBTA_HGG
M1070	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.003996003996003996	DAG1	PBTA_HGG
M16975	NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	0.003996003996003996	B2M	PBTA_HGG
M19875	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	0.003996003996003996	HLA-E	PBTA_HGG
M17043	CHANDRAN_METASTASIS_TOP50_DN	0.003996003996003996	IL11RA	PBTA_HGG
M18441	THUM_SYSTOLIC_HEART_FAILURE_DN	0.003996003996003996	CDH5	PBTA_HGG
M17299	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.003996003996003996	MYD88	PBTA_HGG
M14985	BASAKI_YBX1_TARGETS_UP	0.003996003996003996	PEPD	PBTA_HGG
M5275	OSMAN_BLADDER_CANCER_UP	0.003996003996003996	SELPLG	PBTA_HGG
M12517	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN	0.003996003996003996	AFG3L2	PBTA_HGG
M19666	TIEN_INTESTINE_PROBIOTICS_24HR_DN	0.003996003996003996	GALNT2	PBTA_HGG
M80	KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	0.003996003996003996	ATP6V1B2	PBTA_HGG
M4987	KIM_WT1_TARGETS_12HR_DN	0.003996003996003996	MTHFD1	PBTA_HGG
M15107	JAATINEN_HEMATOPOIETIC_STEM_CELL_UP	0.003996003996003996	KIF1C	PBTA_HGG
M10091	WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN	0.003996003996003996	AMFR	PBTA_HGG
M6862	NADERI_BREAST_CANCER_PROGNOSIS_UP	0.003996003996003996	MAPK8IP1	PBTA_HGG
M18979	HAMAI_APOPTOSIS_VIA_TRAIL_UP	0.003996003996003996	PEPD	PBTA_HGG
M13314	LUI_TARGETS_OF_PAX8_PPARG_FUSION	0.003996003996003996	GNAI2	PBTA_HGG
M1840	KEGG_GLUTATHIONE_METABOLISM	0.004995004995004995	SLC7A7	PBTA_HGG
M4013	KEGG_GAP_JUNCTION	0.004995004995004995	NDUFA8	PBTA_HGG
M16024	KEGG_ALZHEIMERS_DISEASE	0.004995004995004995	CD81	PBTA_HGG
M1909	BIOCARTA_EGF_PATHWAY	0.004995004995004995	PLK3	PBTA_HGG
M5489	BIOCARTA_IL6_PATHWAY	0.004995004995004995	DAB2	PBTA_HGG
M91	PID_TCPTP_PATHWAY	0.004995004995004995	PLK3	PBTA_HGG
M266	PID_NCADHERIN_PATHWAY	0.004995004995004995	APEH	PBTA_HGG
M657	REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.004995004995004995	PLK3	PBTA_HGG
M17034	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.004995004995004995	RNASET2	PBTA_HGG
M5336	REACTOME_CELL_CYCLE_MITOTIC	0.004995004995004995	SERPINB6	PBTA_HGG
M791	REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1	0.004995004995004995	STS	PBTA_HGG
M16843	REACTOME_METABOLISM_OF_RNA	0.004995004995004995	BTK	PBTA_HGG
M17287	LIU_SOX4_TARGETS_DN	0.004995004995004995	MYO1F	PBTA_HGG
M14539	BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	0.004995004995004995	GTF3C2	PBTA_HGG
M2038	CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_UP	0.004995004995004995	GALNT2	PBTA_HGG
M4735	WANG_LMO4_TARGETS_UP	0.004995004995004995	LGALS9	PBTA_HGG
M10277	MULLIGHAN_NPM1_SIGNATURE_3_UP	0.004995004995004995	SP110	PBTA_HGG
M9945	UDAYAKUMAR_MED1_TARGETS_DN	0.004995004995004995	GLE1	PBTA_HGG
M6753	ODONNELL_TFRC_TARGETS_UP	0.004995004995004995	MYO6	PBTA_HGG
M6100	SENESE_HDAC1_TARGETS_DN	0.004995004995004995	APOC2	PBTA_HGG
M16859	SENESE_HDAC3_TARGETS_DN	0.004995004995004995	RAB36	PBTA_HGG
M19990	TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.004995004995004995	CYBB	PBTA_HGG
M12016	OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.004995004995004995	ECH1	PBTA_HGG
M4902	LUI_THYROID_CANCER_PAX8_PPARG_DN	0.004995004995004995	AHR	PBTA_HGG
M952	OLSSON_E2F3_TARGETS_DN	0.004995004995004995	APEX1	PBTA_HGG
M5792	LI_AMPLIFIED_IN_LUNG_CANCER	0.004995004995004995	BTK	PBTA_HGG
M5109	KEGG_PYRIMIDINE_METABOLISM	0.005994005994005994	SREBF1	PBTA_HGG
M10792	KEGG_MAPK_SIGNALING_PATHWAY	0.005994005994005994	ANXA4	PBTA_HGG
M15247	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.005994005994005994	CYBB	PBTA_HGG
M3115	KEGG_LONG_TERM_POTENTIATION	0.005994005994005994	DRAP1	PBTA_HGG
M623	REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.005994005994005994	SPOP	PBTA_HGG
M706	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.005994005994005994	ARL1	PBTA_HGG
M17776	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	0.005994005994005994	DCTD	PBTA_HGG
M855	REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.005994005994005994	SDHD	PBTA_HGG
M19391	LIU_PROSTATE_CANCER_DN	0.005994005994005994	RNASET2	PBTA_HGG
M4001	DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN	0.005994005994005994	MAP3K8	PBTA_HGG
M13893	GARY_CD5_TARGETS_DN	0.005994005994005994	PEPD	PBTA_HGG
M19439	DOANE_BREAST_CANCER_ESR1_UP	0.005994005994005994	SP110	PBTA_HGG
M5827	GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	0.005994005994005994	ARHGAP1	PBTA_HGG
M8916	TIEN_INTESTINE_PROBIOTICS_2HR_DN	0.005994005994005994	MYO1F	PBTA_HGG
M1463	TIEN_INTESTINE_PROBIOTICS_24HR_UP	0.005994005994005994	MYO6	PBTA_HGG
M16651	RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	0.005994005994005994	MYO6	PBTA_HGG
M18134	COLDREN_GEFITINIB_RESISTANCE_UP	0.005994005994005994	TIAM1	PBTA_HGG
M13273	DELYS_THYROID_CANCER_DN	0.005994005994005994	NAGA	PBTA_HGG
