pathway_id	pathway_description	pvalue	hub_gene	comparison
hsa00562	Inositol phosphate metabolism	0.023976023976023976	COL16A1	GTEx
hsa03320	PPAR signaling pathway	0.023976023976023976	ABL2	GTEx
hsa04260	Cardiac muscle contraction	0.023976023976023976	AIF1	GTEx
hsa04210	Apoptosis	0.026973026973026972	NR4A2	GTEx
hsa04068	FoxO signaling pathway	0.028971028971028972	IL6R	GTEx
hsa04080	Neuroactive ligand-receptor interaction	0.028971028971028972	WRN	GTEx
hsa04120	Ubiquitin mediated proteolysis	0.029970029970029972	NFYC	GTEx
hsa04668	TNF signaling pathway	0.029970029970029972	ADAR	GTEx
hsa04611	Platelet activation	0.03296703296703297	SERPINH1	GTEx
hsa04919	Thyroid hormone signaling pathway	0.03296703296703297	HNRNPH1	GTEx
hsa04910	Insulin signaling pathway	0.04095904095904096	SRSF5	GTEx
hsa04380	Osteoclast differentiation	0.04295704295704296	BTK	GTEx
hsa04520	Adherens junction	0.04595404595404595	FCGR2A	GTEx
hsa04530	Tight junction	0.04695304695304695	NRF1	GTEx
hsa04920	Adipocytokine signaling pathway	0.04695304695304695	NR4A2	GTEx
hsa00330	Arginine and proline metabolism	0.04995004995004995	HSP90AA1	GTEx
