QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module	WTCS
Q08499	NA	NA	NA	NA	PENTOXIFYLLINE	3',5'-cyclic phosphodiesterase inhibitor	INHIBITOR	1984	CHEMBL2363066	105761	Q08499	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	Homo sapiens	D000071074: Neonatal Sepsis,D000740: Anemia,D001528: Behcet Syndrome,D001656: Biliary Atresia,D001714: Bipolar Disorder,D001927: Brain Diseases,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002318: Cardiovascular Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003865: Depressive Disorder, Major,D003928: Diabetic Nephropathies,D004374: Ductus Arteriosus, Patent,D004715: Endometriosis,D005234: Fatty Liver,D005355: Fibrosis,D005921: Glomerulonephritis,D006258: Head and Neck Neoplasms,D006519: Hepatitis, Alcoholic,D007246: Infertility,D007896: Leishmaniasis,D008103: Liver Cirrhosis,D008105: Liver Cirrhosis, Biliary,D009369: Neoplasms,D009404: Nephrotic Syndrome,D010020: Osteonecrosis,D010195: Pancreatitis,D012559: Schizophrenia,D014947: Wounds and Injuries,D015658: HIV Infections,D016543: Central Nervous System Neoplasms,D016773: Leishmaniasis, Cutaneous,D016778: Malaria, Falciparum,D017093: Liver Failure,D017565: Sarcoidosis, Pulmonary,D020065: Hepatopulmonary Syndrome,D020345: Enterocolitis, Necrotizing,D020388: Muscular Dystrophy, Duchenne,D020516: Brachial Plexus Neuropathies,D045169: Severe Acute Respiratory Syndrome,D051436: Renal Insufficiency, Chronic,D054058: Acute Coronary Syndrome,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D058186: Acute Kidney Injury,D065626: Non-alcoholic Fatty Liver Disease	PDE4D	M1	-0.325429038933457
Q14123	NA	NA	NA	NA	PENTOXIFYLLINE	3',5'-cyclic phosphodiesterase inhibitor	INHIBITOR	1984	CHEMBL2363066	105761	Q14123	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C	Homo sapiens	D000071074: Neonatal Sepsis,D000740: Anemia,D001528: Behcet Syndrome,D001656: Biliary Atresia,D001714: Bipolar Disorder,D001927: Brain Diseases,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002318: Cardiovascular Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003865: Depressive Disorder, Major,D003928: Diabetic Nephropathies,D004374: Ductus Arteriosus, Patent,D004715: Endometriosis,D005234: Fatty Liver,D005355: Fibrosis,D005921: Glomerulonephritis,D006258: Head and Neck Neoplasms,D006519: Hepatitis, Alcoholic,D007246: Infertility,D007896: Leishmaniasis,D008103: Liver Cirrhosis,D008105: Liver Cirrhosis, Biliary,D009369: Neoplasms,D009404: Nephrotic Syndrome,D010020: Osteonecrosis,D010195: Pancreatitis,D012559: Schizophrenia,D014947: Wounds and Injuries,D015658: HIV Infections,D016543: Central Nervous System Neoplasms,D016773: Leishmaniasis, Cutaneous,D016778: Malaria, Falciparum,D017093: Liver Failure,D017565: Sarcoidosis, Pulmonary,D020065: Hepatopulmonary Syndrome,D020345: Enterocolitis, Necrotizing,D020388: Muscular Dystrophy, Duchenne,D020516: Brachial Plexus Neuropathies,D045169: Severe Acute Respiratory Syndrome,D051436: Renal Insufficiency, Chronic,D054058: Acute Coronary Syndrome,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D058186: Acute Kidney Injury,D065626: Non-alcoholic Fatty Liver Disease	PDE1C	M1	-0.325429038933457
P10275	NA	NA	NA	NA	DANAZOL	Androgen Receptor agonist	AGONIST	1976	CHEMBL1871	56	P10275	Androgen receptor	Homo sapiens	D000741: Anemia, Aplastic,D004715: Endometriosis,D005199: Fanconi Anemia,D005348: Fibrocystic Breast Disease,D007246: Infertility,D009190: Myelodysplastic Syndromes,D011697: Purpura, Thrombotic Thrombocytopenic,D016553: Purpura, Thrombocytopenic, Idiopathic,D016889: Endometrial Neoplasms,D019871: Dyskeratosis Congenita,D059373: Mastodynia	AR	M1	-0.389663696377968
P06401	NA	NA	NA	NA	NORETHINDRONE	Progesterone receptor agonist	AGONIST	1962	CHEMBL208	36	P06401	Progesterone receptor	Homo sapiens	D004412: Dysmenorrhea,D004715: Endometriosis,D006526: Hepatitis C,D008593: Menopause,D009369: Neoplasms,D010146: Pain,D012735: Sexual Dysfunction, Physiological,D015427: Reperfusion Injury,D020528: Multiple Sclerosis, Chronic Progressive,D020529: Multiple Sclerosis, Relapsing-Remitting	PGR	M1	-0.291157796372349
P06401	NA	NA	NA	NA	LEVONORGESTREL	Progesterone receptor agonist	AGONIST	1982	CHEMBL208	36	P06401	Progesterone receptor	Homo sapiens	D000856: Anorexia Nervosa,D001851: Bone Diseases, Metabolic,D003924: Diabetes Mellitus, Type 2,D004412: Dysmenorrhea,D004714: Endometrial Hyperplasia,D004715: Endometriosis,D006470: Hemorrhage,D008595: Menorrhagia,D008881: Migraine Disorders,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010146: Pain,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015658: HIV Infections,D019694: Hepatitis B, Chronic,D019698: Hepatitis C, Chronic,D062788: Adenomyosis	PGR	M1	-0.331799474808523
P06401	NA	NA	NA	NA	DANAZOL	Progesterone receptor agonist	AGONIST	1976	CHEMBL208	36	P06401	Progesterone receptor	Homo sapiens	D000741: Anemia, Aplastic,D004715: Endometriosis,D005199: Fanconi Anemia,D005348: Fibrocystic Breast Disease,D007246: Infertility,D009190: Myelodysplastic Syndromes,D011697: Purpura, Thrombotic Thrombocytopenic,D016553: Purpura, Thrombocytopenic, Idiopathic,D016889: Endometrial Neoplasms,D019871: Dyskeratosis Congenita,D059373: Mastodynia	PGR	M1	-0.389663696377968
P08631	NA	NA	NA	NA	BOSUTINIB	Tyrosine-protein kinase HCK inhibitor	INHIBITOR	2010	CHEMBL3234	11785	P08631	Tyrosine-protein kinase HCK	Homo sapiens	D000690: Amyotrophic Lateral Sclerosis,D001749: Urinary Bladder Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002583: Uterine Cervical Neoplasms,D003704: Dementia,D005909: Glioblastoma,D007938: Leukemia,D008654: Mesothelioma,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D013945: Thymoma,D013953: Thymus Neoplasms,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D016891: Polycystic Kidney, Autosomal Dominant,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma	HCK	M1	-0.306176051491788
Q07343	NA	NA	NA	NA	PENTOXIFYLLINE	3',5'-cyclic phosphodiesterase inhibitor	INHIBITOR	1984	CHEMBL2363066	105761	Q07343	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Homo sapiens	D000071074: Neonatal Sepsis,D000740: Anemia,D001528: Behcet Syndrome,D001656: Biliary Atresia,D001714: Bipolar Disorder,D001927: Brain Diseases,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002318: Cardiovascular Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003865: Depressive Disorder, Major,D003928: Diabetic Nephropathies,D004374: Ductus Arteriosus, Patent,D004715: Endometriosis,D005234: Fatty Liver,D005355: Fibrosis,D005921: Glomerulonephritis,D006258: Head and Neck Neoplasms,D006519: Hepatitis, Alcoholic,D007246: Infertility,D007896: Leishmaniasis,D008103: Liver Cirrhosis,D008105: Liver Cirrhosis, Biliary,D009369: Neoplasms,D009404: Nephrotic Syndrome,D010020: Osteonecrosis,D010195: Pancreatitis,D012559: Schizophrenia,D014947: Wounds and Injuries,D015658: HIV Infections,D016543: Central Nervous System Neoplasms,D016773: Leishmaniasis, Cutaneous,D016778: Malaria, Falciparum,D017093: Liver Failure,D017565: Sarcoidosis, Pulmonary,D020065: Hepatopulmonary Syndrome,D020345: Enterocolitis, Necrotizing,D020388: Muscular Dystrophy, Duchenne,D020516: Brachial Plexus Neuropathies,D045169: Severe Acute Respiratory Syndrome,D051436: Renal Insufficiency, Chronic,D054058: Acute Coronary Syndrome,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D058186: Acute Kidney Injury,D065626: Non-alcoholic Fatty Liver Disease	PDE4B	M1	-0.325429038933457
P14416	NA	NA	NA	NA	CLOZAPINE	Dopamine D2 receptor antagonist	ANTAGONIST	1989	CHEMBL217	72	P14416	D(2) dopamine receptor	Homo sapiens	D001007: Anxiety,D001714: Bipolar Disorder,D002658: Developmental Disabilities,D003704: Dementia,D003866: Depressive Disorder,D008607: Intellectual Disability,D011618: Psychotic Disorders,D012559: Schizophrenia	DRD2	M1	-0.312178491948553
P14416	NA	NA	NA	NA	CHLORPROTHIXENE	Dopamine D2 receptor antagonist	ANTAGONIST	1967	CHEMBL217	72	P14416	D(2) dopamine receptor	Homo sapiens	D001007: Anxiety,D003704: Dementia,D003866: Depressive Disorder,D011618: Psychotic Disorders,D012559: Schizophrenia	DRD2	M1	-0.307790174425444
P14416	NA	NA	NA	NA	AMOXAPINE	Dopamine receptor antagonist	ANTAGONIST	1980	CHEMBL2096905	104842	P14416	D(2) dopamine receptor	Homo sapiens	D003866: Depressive Disorder	DRD2	M1	-0.293024933674267
P14416	NA	NA	NA	NA	CABERGOLINE	Dopamine D2 receptor agonist	AGONIST	1996	CHEMBL217	72	P14416	D(2) dopamine receptor	Homo sapiens	D000172: Acromegaly,D001943: Breast Neoplasms,D003920: Diabetes Mellitus,D004715: Endometriosis,D007246: Infertility,D009765: Obesity,D010145: Paget Disease, Extramammary,D010300: Parkinson Disease,D012148: Restless Legs Syndrome,D016471: Ovarian Hyperstimulation Syndrome,D019966: Substance-Related Disorders,D019970: Cocaine-Related Disorders,D047748: Pituitary ACTH Hypersecretion	DRD2	M1	-0.298878368081196
P35372	CHEMBL128201	214599	10295681	NA	NALTREXONE	Opioid receptors; mu/kappa/delta antagonist	ANTAGONIST	1984	CHEMBL2095181	104765	P35372	Mu-type opioid receptor	Homo sapiens	D000428: Alcohol Drinking,D000437: Alcoholism,D001883: Borderline Personality Disorder,D001943: Breast Neoplasms,D002189: Marijuana Abuse,D002659: Child Development Disorders, Pervasive,D003093: Colitis, Ulcerative,D003424: Crohn Disease,D003865: Depressive Disorder, Major,D003866: Depressive Disorder,D003876: Dermatitis, Atopic,D003929: Diabetic Neuropathies,D004715: Endometriosis,D005356: Fibromyalgia,D005715: Gambling,D006556: Heroin Dependence,D008881: Migraine Disorders,D009103: Multiple Sclerosis,D009293: Opioid-Related Disorders,D009765: Obesity,D009771: Obsessive-Compulsive Disorder,D010146: Pain,D011565: Psoriasis,D012128: Respiratory Distress Syndrome,D012559: Schizophrenia,D013313: Stress Disorders, Post-Traumatic,D014029: Tobacco Use Disorder,D014256: Trichotillomania,D015352: Dry Eye Syndromes,D015658: HIV Infections,D018352: Coronavirus Infections,D018856: Cystitis, Interstitial,D019966: Substance-Related Disorders,D019969: Amphetamine-Related Disorders,D019970: Cocaine-Related Disorders,D019973: Alcohol-Related Disorders,D045169: Severe Acute Respiratory Syndrome,D059350: Chronic Pain	OPRM1	M1	-0.358143598526182
Q14957	NA	NA	NA	NA	FELBAMATE	Glutamate [NMDA] receptor antagonist	ANTAGONIST	1993	CHEMBL2094124	104706	Q14957	Glutamate receptor ionotropic, NMDA 2C	Homo sapiens	D001714: Bipolar Disorder,D004827: Epilepsy	GRIN2C	M1	-0.302935048115728
Q9NSA0	NA	NA	NA	NA	PROBENECID	Solute carrier family 22 member 11 inhibitor	INHIBITOR	1951	CHEMBL2073677	104618	Q9NSA0	Solute carrier family 22 member 11	Homo sapiens	D000437: Alcoholism,D001930: Brain Injuries,D002481: Cellulitis,D002805: Chondrocalcinosis,D003924: Diabetes Mellitus, Type 2,D005585: Influenza in Birds,D006073: Gout,D006333: Heart Failure,D007239: Infections,D009369: Neoplasms,D009765: Obesity,D014552: Urinary Tract Infections,D054143: Heart Failure, Systolic	SLC22A11	M1	-0.296571962549246
