HGNC symbol	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
	79644682	79685499	CHR_HSCHR18_3_CTG2_1
	79683041	79685112	CHR_HSCHR18_3_CTG2_1
FRMD5	43870761	44195271	15
NEK2P2	15611759	15613096	22
	22134698	22136083	CHR_HSCHR21_2_CTG1_1
IGHV3OR15-7	19987656	19988117	15
RTF1	41408408	41483563	15
IGHJ1P	105866395	105866449	CHR_HSCHR14_3_CTG1
	23140563	23144422	15
TRBV8-2	142408088	142408357	CHR_HSCHR7_2_CTG6
IGHD1-26	105881805	105881824	CHR_HSCHR14_3_CTG1
TRBV5-3	142410913	142411379	CHR_HSCHR7_2_CTG6
TUBGCP5	22983146	23039654	CHR_HSCHR15_1_CTG3
TRIM10	30144448	30153436	CHR_HSCHR6_MHC_APD_CTG1
CELF5	3224661	3297076	19
IGHD6-25	105882310	105882327	CHR_HSCHR14_3_CTG1
TRBV9	142413602	142414123	CHR_HSCHR7_2_CTG6
IGHD5-24	105884674	105884693	CHR_HSCHR14_3_CTG1
IGHD4-23	105885641	105885659	CHR_HSCHR14_3_CTG1
MTMR6	25246201	25288009	13
PIN4P1	43875849	43876244	15
TRBV10-1	142421573	142422090	CHR_HSCHR7_2_CTG6
ACTBP7	43989061	43990184	15
	6641971	6642478	18
KIR2DL1	54798381	54812886	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
	3296765	3303003	19
AHRR	271670	438291	5
	130598348	130598779	5
	44551577	44553281	6
	130989897	130990428	5
FBXO4	41925254	41941743	5
GOLGA8EP	23157366	23170711	15
	6728821	6729862	18
	65606090	65652053	18
	6873399	6875024	18
URB1-AS1	32393130	32393960	21
RAD23B	107283137	107332192	9
ARHGAP28	6729718	6915716	18
	30926514	30928407	15
POLE3	113407235	113410675	9
MTMR10	30938941	30991628	15
SDHA	218241	257082	5
	64703774	64734459	8
CYP7B1	64587763	64798737	8
IGLV2-23	22697789	22698407	22
USP18	18149899	18177397	22
IGLVVI-22-1	22700760	22700970	22
IGLV3-22	22704265	22704822	22
	16283359	16324514	19
IGLV3-21	22711689	22713203	22
C9orf43	113410054	113429684	9
HNRNPA3P4	48149203	48150005	6
IGLVI-20	22715290	22715419	22
FBXO22	75903876	75942511	15
KLF2	16324817	16327874	19
IGLV3-19	22720623	22721145	22
ATP2B2	10324023	10708007	3
HTR2A-AS1	46852143	46856299	13
	22730725	22731090	22
HTR2A	46831550	46897076	13
CDH7	65750252	65890337	18
IGHD3-22	105886802	105886832	CHR_HSCHR14_3_CTG1
	75070197	75071091	18
TRBV11-1	142429379	142429843	CHR_HSCHR7_2_CTG6
ITPK1-AS1	93067452	93072152	CHR_HSCHR14_7_CTG1
ITPKA	41493393	41503551	15
IGHD2-21	105889322	105889349	CHR_HSCHR14_3_CTG1
ITPK1	92936914	93116320	CHR_HSCHR14_7_CTG1
	1544107	1551710	5
GSTA10P	52873014	52879940	6
	130994253	130996164	5
FAM197Y8	9347511	9356814	Y
GNG5P5	47307082	47307301	13
	75073543	75074205	18
	131008583	131008742	5
RPSAP38	41951313	41952193	5
	75103587	75106260	18
FAN1	30903852	30943108	15
	75112137	75125565	18
	54783578	54795926	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ZADH2	75195113	75209139	18
AHRR	321759	435110	5
IGHD6-19	105892470	105892490	CHR_HSCHR14_3_CTG1
IGHD1-20	105891962	105891978	CHR_HSCHR14_3_CTG1
IGHD4-17	105895279	105895294	CHR_HSCHR14_3_CTG1
CES5A	55843031	55952925	CHR_HSCHR16_1_CTG3_1
NUDT19P4	44898711	44899295	6
	105890855	105897348	CHR_HSCHR14_3_CTG1
	65865262	65866397	18
IGHD5-18	105894313	105894332	CHR_HSCHR14_3_CTG1
IGHD3-16	105896405	105896441	CHR_HSCHR14_3_CTG1
RUNX2	45328157	45664349	6
	111139246	111284836	9
TRBV12-1	142436931	142437373	CHR_HSCHR7_2_CTG6
RBMXP1	48213604	48214794	6
KIR2DS5	54766539	54781397	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
	403731	404546	5
NRG4	75935969	76059795	15
	288833	290321	5
	418703	419109	5
OR2K2	111327483	111330183	9
TRBV10-2	142446652	142447152	CHR_HSCHR7_2_CTG6
	218298	314955	5
LYRM7	131170944	131205428	5
	269858	271516	5
	6727053	6728981	18
	64801236	64817573	8
SDHAP3	1567495	1594620	5
PDCD6	271621	314974	5
	25300124	25301438	13
	48701491	48701872	6
	48952070	48952781	6
SLC25A15P1	26586642	26591601	Y
TRBV11-2	142455594	142456093	CHR_HSCHR7_2_CTG6
HINT1	131159027	131171735	5
TRIM40	30214604	30227224	CHR_HSCHR6_MHC_MCF_CTG1
GCNT2P1	10633762	10634695	6
NPM1P45	9852748	9853306	17
GLP2R	9822206	9892099	17
	64973488	64973848	8
C6orf52	10671418	10694797	6
	49077712	49078051	6
RPL31P41	65155407	65155778	8
	49115537	49116115	6
	10659498	10692860	6
EXOSC3P1	32496812	32497311	21
EVA1C	32412006	32515397	21
LILRB5	54251026	54258210	CHR_HSCHR19LRC_PGF1_CTG3_1
RBM22P4	45098021	45099260	6
	45097496	45097976	6
RUNX2-AS1	45573346	45576770	6
	45421079	45422005	6
SUPT3H	44809317	45377953	6
	22153950	22154299	CHR_HSCHR21_2_CTG1_1
	15615402	15615578	22
IGLV2-18	22734607	22735089	22
	22209939	22212813	CHR_HSCHR21_2_CTG1_1
IGLV3-17	22738944	22739187	22
IGHD5OR15-5A	20003840	20003862	15
IGLV3-16	22747383	22747921	22
TAS2R7	10801532	10802627	CHR_HSCHR12_2_CTG2
IGHD4OR15-4A	20004797	20004815	15
IGLV3-15	22755554	22755797	22
IGHD3OR15-3A	20005905	20005935	15
IGLV2-14	22758700	22759218	22
MST1R	49887002	49903873	3
IGLV3-13	22762294	22762516	22
TAS2R8	10806051	10807293	CHR_HSCHR12_2_CTG2
IGLV3-12	22771824	22772582	22
IGHD2OR15-2A	20008402	20008432	15
NF1P6	15622601	15632051	22
TAS2R9	10809137	10810168	CHR_HSCHR12_2_CTG2
LINC02250	25473583	25578806	15
KIR2DL3	54668491	54683019	CHR_HSCHR19LRC_PGF1_CTG3_1
	20092632	20094144	13
	45158870	45159511	6
LINC01072	20102701	20103230	13
PAXBP1	32769814	32771858	CHR_HSCHR21_3_CTG1_1
	29182027	29187795	21
	25580969	25581122	15
HPRT1P2	30248350	30248893	5
	16352462	16353182	19
	3084393	3085443	11
LINC01509	107420284	107430802	9
	1011085	1011799	9
C13orf42	51082119	51200252	13
	30365405	30365684	5
GJA3	20138255	20161052	13
IGHD1OR15-1A	20011153	20011169	15
RPL19P11	31053565	31054153	5
FAM30B	20012741	20014208	15
TARS	33440696	33469539	5
LINC01230	1045625	1048641	9
	51180178	51180967	13
	20046296	20047994	15
PRELID3BP2	51195881	51196081	13
MIF	23894004	23895227	CHR_HSCHR22_1_CTG7
RPL5P31	51161723	51162357	13
BCAR1P1	20073699	20074334	15
	31065970	31066132	5
	75950464	75951144	15
WBP1LP12	95124	95454	6
GASAL1	102805517	102809971	8
	34837889	34855304	19
APOBEC3H	39097224	39104067	22
	20128745	20147953	15
	15701963	15758898	11
	20141794	20146430	15
LILRA3	54294163	54306461	CHR_HSCHR19LRC_COX1_CTG3_1
	34849278	34860576	19
OR4F1P	105919	106856	6
MCIDAS	55219614	55227315	5
	15643885	15705368	11
MED15P7	15635180	15644330	22
MIF-AS1	23894426	23898930	CHR_HSCHR22_1_CTG7
	15910957	15927443	11
MTHFD2P6	41967139	41968366	5
	23862188	23895223	CHR_HSCHR22_1_CTG7
SPATC1L	46161148	46184476	21
	49273600	49273794	6
CICP18	131910	145083	6
	23856427	23857039	CHR_HSCHR22_1_CTG7
CDH6	31193686	31329146	5
LINC00251	65161145	65184210	8
	23865248	23873277	CHR_HSCHR22_1_CTG7
TNF	31557707	31560476	CHR_HSCHR6_MHC_DBB_CTG1
BMS1P15	20153776	20160826	15
	65917782	65920942	18
PRPF19P1	66068750	66069647	18
GAPDHP62	100550724	100551713	8
SLC2A11	23856703	23886309	CHR_HSCHR22_1_CTG7
EPPK1	143857324	143878464	8
ANKRD46	100509752	100559784	8
ARSA	50622754	50628173	22
PDE8A	84980440	85139145	15
	32790673	32791504	CHR_HSCHR21_3_CTG1_1
	102888858	102889834	13
RANBP3	5916139	5978142	19
METTL21EP	102880099	102896033	13
	8525179	8528679	5
C21orf62	32793564	32813728	CHR_HSCHR21_3_CTG1_1
	8572047	8572206	5
	8614356	8614696	5
RAB28P3	42492663	42493570	9
PPIAP28	20178978	20179462	13
GATA4	11676959	11760002	8
APPL1	57227726	57278105	3
C21orf62-AS1	32772100	32798969	CHR_HSCHR21_3_CTG1_1
RBPJP6	42497704	42499134	9
RAB9AP4	18649671	18650279	Y
ZNF346-IT1	177051714	177052963	5
	102903339	102904000	13
MTND6P2	8618581	8619104	5
LINC00556	20181531	20181942	13
DUX4L51	31249879	31250987	5
ZNF346	177022696	177081189	5
PARP4P1	26594851	26634652	Y
	31093977	31267610	5
CD276	73683966	73714514	15
	42566679	42569353	9
CCNQP2	26626520	26627159	Y
RPS4XP7	13521266	13522045	6
MOB2	1469457	1501247	11
	42568865	42569315	9
	70448301	70556133	CHR_HSCHR5_1_CTG1_1
	79708475	79709405	CHR_HSCHR18_3_CTG2_1
	66029264	66030169	9
	70543654	70549533	CHR_HSCHR5_1_CTG1_1
	70425738	70449761	CHR_HSCHR5_1_CTG1_1
CTDP1	79685555	79723770	CHR_HSCHR18_3_CTG2_1
LINC00189	29193480	29288205	21
SLC10A2	103043998	103066846	13
	70518623	70529103	CHR_HSCHR5_1_CTG1_1
TRAPPC2P7	18655520	18656190	Y
MTCYBP37	8619178	8620310	5
BACH1-IT2	29370497	29373709	21
	8659764	8660059	5
BACH1-IT1	29351634	29361894	21
	8669018	8669250	5
	24956621	24957110	8
	29657406	29657831	21
NEFL	24950955	24957110	8
	29359002	29359453	21
BACH1-IT3	29496047	29500386	21
GJB2	20187463	20192938	13
AP1B1	29327680	29423179	22
BACH1-AS1	29370019	29376339	21
	18204730	18220480	19
GRIK1	29536933	29940033	21
LTB	31562695	31564662	CHR_HSCHR6_MHC_DBB_CTG1
	8685581	8685816	5
PDE4C	18208652	18248200	19
	8717684	8717883	5
MON1A	49907160	49930173	3
LARS	146113034	146182650	5
	167607	170631	6
	34866352	34866919	19
	20228620	20277503	15
	66042646	66043342	9
	42579414	42586534	9
FAM207A	44940012	44976989	21
	64099	76866	17
	66047084	66055006	9
FGF7P5	42625436	42626813	9
	42636788	42637139	9
	103343660	103396450	13
	203313	206392	6
FGF7P4	42667506	42668887	9
	184339	186899	6
	30899110	30899651	17
LINC01309	103425200	103427685	13
	181466	205519	6
SNX18P4	66082350	66083187	9
TEFM	30897336	30906238	17
	66084804	66085031	9
ATP6V1G1P7	103444620	103444968	13
	24992002	25009777	8
KIR2DS4	54762712	54778593	CHR_HSCHR19LRC_PGF1_CTG3_1
CCNO	55231152	55233608	5
	3585149	3636249	17
KIR3DP1	54716322	54720285	CHR_HSCHR19LRC_PGF1_CTG3_1
SHPK	3608262	3636322	17
KIR2DL1	54699775	54714233	CHR_HSCHR19LRC_PGF1_CTG3_1
TTTY14	18772706	19077416	Y
	39133090	39136760	22
	16530771	16531802	3
COX5BP7	39120293	39120566	22
	15721486	15722608	22
POTEH-AS1	15699361	15703403	22
CBX7	39120167	39152680	22
POTEH	15690026	15721631	22
	3601761	3602272	17
LINC00898	47621043	47631569	22
TRPV1	3565444	3609411	17
LINC00904	34892029	34898943	19
	22774529	22774691	22
	49903845	49916937	3
	47916728	47926264	22
	34900877	34905118	19
	47662559	47663603	22
	22785643	22787268	22
	49899302	49903757	3
LY6G5C	31716138	31723494	CHR_HSCHR6_MHC_MANN_CTG1
IGLV2-11	22792491	22793007	22
	47630827	48023004	22
	22803076	22803360	22
GSTA3	52896639	52909698	6
	55233934	55295201	5
IGLV3-10	22811747	22812281	22
	17591428	17610485	17
OFD1P6Y	18674033	18739197	Y
	17507351	17508308	17
DHX29	55256055	55307694	5
	25141394	25141968	8
ASB14	57268347	57292682	3
	110916004	110917827	13
EEF1A1P42	49358185	49360420	6
PEMT	17505563	17591708	17
MTCYBP2	18872102	18872272	Y
ELOCP14	18787750	18788080	Y
PPIAP86	65377592	65378111	8
HSFY2	18731440	18773735	Y
LINC01299	65527008	65562780	8
KIR2DP1	54684990	54697367	CHR_HSCHR19LRC_PGF1_CTG3_1
RNF39	30060156	30065777	CHR_HSCHR6_MHC_COX_CTG1
ANKRD20A3	66106815	66153135	9
	9529934	9559268	21
KIR3DL1	54746462	54760779	CHR_HSCHR19LRC_PGF1_CTG3_1
ADAMTS7P3	77976042	77993057	15
	9580024	9580415	21
	9634244	9679906	21
XKRYP2	18811338	18811829	Y
	77993405	77995289	15
ZNF839P1	18985175	18986398	Y
TSHZ1	75210755	75289950	18
USP9YP28	18833002	18839313	Y
TRIM10	30230427	30239418	CHR_HSCHR6_MHC_MCF_CTG1
TBC1D2B	77984036	78077724	15
PPP1R11	30056599	30060223	CHR_HSCHR6_MHC_COX_CTG1
RLN3	14028148	14031042	19
CSTF3-DT	33161657	33191598	11
USP9YP2	18776279	18779427	Y
PRYP6	18790709	18791051	Y
USP9YP10	18826107	18829487	Y
LINC00294	33076149	33079454	11
	14030855	14031557	19
CD24P4	18992467	18992709	Y
	75387056	75387596	18
CSTF3	33077188	33162371	11
GPM6BP2	18741843	18741986	Y
OFD1P7Y	18848264	18867280	Y
LINC01667	9781910	9838011	21
	41867581	41867736	17
	75407012	75426607	18
	8754869	8755159	5
	248551	251571	19
KALRN	124080023	124726325	3
	8785042	8785468	5
ACLY	41866917	41930542	17
SMIM21	75409476	75427703	18
	9810501	9810848	21
LINC02197	70677171	70771675	CHR_HSCHR5_1_CTG1_1
PARP1P1	110936759	110939784	13
PMCHL2	70701100	70711308	CHR_HSCHR5_1_CTG1_1
GSTA9P	52939726	52957521	6
	70697990	70700212	CHR_HSCHR5_1_CTG1_1
UBL5	9827892	9830115	19
	70770949	70771902	CHR_HSCHR5_1_CTG1_1
	10894943	10895882	CHR_HSCHR12_2_CTG2
TAS2R14	10937406	11203521	CHR_HSCHR12_2_CTG2
	8793875	8794197	5
	22814671	22814926	22
	11097196	11097291	CHR_HSCHR12_2_CTG2
	29419155	29423193	22
	10831074	10832016	CHR_HSCHR12_2_CTG2
	29387909	29417757	22
	11115354	11116274	CHR_HSCHR12_2_CTG2
TAS2R19	11021619	11022620	CHR_HSCHR12_2_CTG2
LILRA5	54314131	54327636	CHR_HSCHR19LRC_COX1_CTG3_1
TAS2R10	10825317	10826358	CHR_HSCHR12_2_CTG2
	11190733	11191642	CHR_HSCHR12_2_CTG2
TAS2R46	11061365	11062294	CHR_HSCHR12_2_CTG2
TAS2R50	10985913	10986912	CHR_HSCHR12_2_CTG2
PRR4	10824960	11203561	CHR_HSCHR12_2_CTG2
PIGCP1	33075566	33076460	11
GRIK1-AS1	29748175	29764002	21
TCP11L1	33039417	33105943	11
CDH19	66501083	66604138	18
	195655565	195657927	CHR_HSCHR3_7_CTG3
	12261426	12263173	11
	149324220	149345333	5
	12303533	12308216	11
	195650146	195651472	CHR_HSCHR3_7_CTG3
	3239705	3245382	20
TNNC1	52451102	52454070	3
ABLIM3	149141483	149260542	5
MICAL2	12094008	12359144	11
GAPDHP14	29222321	29223257	21
PLAC8L1	146084313	146105577	5
BACH1	29194071	29630751	21
FAM124A	51222334	51284241	13
LINC00431	110965704	110990579	13
	110945478	110971603	13
	146137755	146138381	5
SULT1B1	69721167	69787961	4
COL7A1	48564073	48595267	3
	146138771	146139008	5
	146099406	146120412	5
NFKBIL1	31586326	31598283	CHR_HSCHR6_MHC_MANN_CTG1
N4BP2L2-IT2	32504506	32509395	13
N4BP2L2	32432417	32538885	13
	14144637	14165978	3
	149934527	149936782	6
LINC00690	16536320	16541373	3
MYD88	38138478	38143022	3
	30986796	31005022	CHR_HSCHR6_MHC_MCF_CTG1
	20194412	20196005	13
TRAJ53	22483004	22483069	14
	42707800	42714539	9
XPC	14145147	14178783	3
TAS2R13	10907926	10909562	CHR_HSCHR12_2_CTG2
TRAJ52	22486228	22486296	14
TAS2R64P	11076769	11079171	CHR_HSCHR12_2_CTG2
RPL7P45	104814327	104815069	13
TAS2R15P	10964425	10965352	CHR_HSCHR12_2_CTG2
PRH2	10929236	10932341	CHR_HSCHR12_2_CTG2
KIR2DL4	54733566	54744515	CHR_HSCHR19LRC_PGF1_CTG3_1
	25708470	25710869	15
ATP10A	25677273	25865172	15
ULBP2	149942014	149949235	6
	18249950	18255419	19
RPL29P23	33190062	33190503	11
LINC01838	34905315	34908188	19
	18207961	18255419	19
	65261928	65326543	11
LSS	46188141	46228824	21
TMEM184B	38219291	38273010	22
POLA2	65261920	65305589	11
TAS2R31	11030387	11031407	CHR_HSCHR12_2_CTG2
COQ4	128322544	128334072	9
TAS2R43	11091308	11092334	CHR_HSCHR12_2_CTG2
ULBP1	149963943	149973715	6
TAS2R30	11164906	11166592	CHR_HSCHR12_2_CTG2
ANTXRLP1	46233885	46273557	10
SMIM10L1	11203312	11203513	CHR_HSCHR12_2_CTG2
C6orf136	30647039	30653210	6
TAS2R63P	11048332	11049256	CHR_HSCHR12_2_CTG2
	11198038	11203301	CHR_HSCHR12_2_CTG2
TAS2R45	11128789	11129718	CHR_HSCHR12_2_CTG2
TAS2R20	10996495	10997875	CHR_HSCHR12_2_CTG2
LINC01986	23757	24501	3
CLCNKB	16043736	16057308	1
WASH8P	14522	32015	CHR_HSCHR12_1_CTG1
	149951833	149952239	6
TRAJ51	22487183	22487245	14
	88641	118578	17
PPFIBP2	7513298	7657127	11
ZFAND1	81701334	81732903	8
CHEK2P2	20282744	20291586	15
PADI1	17205128	17246007	1
AKR1B1P7	33360497	33361448	19
CAMP	48223347	48225491	3
ZFHX4-AS1	76491200	76683278	8
VMAC	5904858	5910853	19
	102461250	102462152	4
TERC	169764520	169765060	3
	53348	54346	3
PDPN	13583465	13617957	1
	65591850	65592472	8
	102500841	102501319	4
	32425358	32432954	13
LINC02199	8839732	8898052	5
NOP56P1	28783625	28783996	CHR_HSCHR6_MHC_APD_CTG1
	5911578	5913899	19
N4BP2L1	32400723	32428311	13
LINC01109	76404058	76407138	8
CAPS	5911375	5915877	19
SIGLEC29P	51563797	51564910	19
ANKRD1	90912096	90921276	10
	40115685	40115943	7
	70230224	70232426	14
ZFHX4	76681219	76867285	8
	93206990	93207583	11
	70234495	70235095	14
ACTRT3	169766921	169769561	3
SERPINF2	1742836	1755268	17
MMUT	49430360	49463253	6
	14135217	14148252	3
	169769649	169772043	3
PFKL	44300051	44327376	21
LSM3	14178817	14201122	3
TRAJ50	22488593	22488652	14
KIR2DL5B	54755098	54764695	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
	31972189	31987034	1
TRAJ49	22489488	22489543	14
	42259731	42268586	14
ATP2B2-IT2	10626021	10626807	3
ATP2B2-IT1	10566255	10570375	3
APH1B	63276018	63309126	15
ZNF30-AS1	34923299	34926812	19
OSCAR	54094679	54102746	CHR_HSCHR19_4_CTG3_1
	42030053	42031382	6
UBXN2A	23927285	24004909	2
	30677762	30679895	2
CCND3	41934933	42050357	6
MPLKIP	40126023	40134652	7
	5904841	5914707	19
	60572024	60572311	14
TMEM43	14124940	14143679	3
DHX16	30653119	30673006	6
CDC42EP2	65314866	65322417	11
	60602146	60602533	14
DDX1	15591178	15631111	2
SALRNA1	60639216	60642589	14
RHOT2	668105	674174	16
	38231320	38232248	22
ADAM2	39588691	39683242	CHR_HSCHR8_9_CTG1
ADGRF5P2	42795392	42800672	9
ACTG1	81509971	81523847	17
GTF2H4	30986738	30992660	CHR_HSCHR6_MHC_MCF_CTG1
CD40	46118272	46129863	20
LINC00368	111095838	111103097	13
CYS1	10056780	10080944	2
KIAA0319	24544104	24646191	6
BPHL	3118374	3153578	6
CAPN13	30722771	30820542	2
	28451644	28455356	16
	28454141	28454511	16
ARMC1	65602458	65634217	8
KRT18P40	20967473	20971556	CHR_HSCHR19_1_CTG2
CHL1	196763	409417	3
	20978678	20989626	CHR_HSCHR19_1_CTG2
SDHCP3	23943846	23944351	2
	10083781	10086101	2
GH2	63880215	63881944	17
	42657763	42657918	14
	62463127	62464070	2
	42412573	42528888	14
	42608868	42609577	14
DAOA	105465867	105491034	13
	42362983	42703655	14
MLH3	75013764	75051532	14
RPS2P1	34122470	34123290	20
RPL7P15	124151960	124153063	3
RASSF1	50329782	50340980	3
	124723788	124726325	3
	42807378	42808112	14
ZNF430	21027036	21043218	CHR_HSCHR19_1_CTG2
	62507545	62507823	2
FAM238C	26931206	26944418	10
TMEM17	62500218	62511894	2
ATP8A2P2	32477274	32478841	13
	76403998	76405091	8
PCM1	17922840	18029944	8
LINC01111	76406654	76524356	8
IGLV3-9	22819010	22819756	22
	8980404	8980659	5
MRPL9P1	76603240	76603852	8
ADGB	146598967	146815462	6
	76576551	76579345	8
IGLV2-8	22822658	22823289	22
HMGA1P7	134115235	134115736	6
	34234840	34281173	20
	34281632	34286466	20
	22834865	22835117	22
IGLV3-7	22838602	22838872	22
	58754351	58756838	20
XPOTP1	34213495	34215892	20
	39238466	39250818	17
IGLV3-6	22850375	22850624	22
AHCY	34280268	34311802	20
IGLV2-5	22856762	22857038	22
PIEZO1P2	58740532	58783821	20
IGLV3-4	22858025	22858268	22
GATA5	62463497	62475995	20
	51951849	51953902	3
	9519853	9523178	5
	9498401	9498775	5
	9363275	9422481	5
DAOA-AS1	105459055	105505681	13
SEMA5A	9035033	9546075	5
ZNF311	28994770	29005301	CHR_HSCHR6_MHC_QBL_CTG1
MEP1AP4	42817105	42823213	9
RFC1	39287456	39366375	4
	75897060	75900148	17
MRPL38	75898643	75905413	17
ANKRD20A7P	42852675	42894751	9
	30746444	30746701	2
	42901238	42920095	9
