Gene	COSMIC	OncoKB	FM	MskImpact	MyCancerGenome	MyCancerGenomeClinTrial	CancerCommons	CancerGenomeInt	CarisMolIntel	JacksonLabs	NCI	CIVIC	cBioPortal	PEDStJude	PEDPfister	TCGABailey	Count
ATP1A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATP2B3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATR	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	7
ATRX	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	9
AXIN1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
AXIN2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
B2M	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	5
BAP1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	6
BARD1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
BAX	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
BAZ1A	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
BCL10	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
BCL11A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
BCL11B	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
BCL2	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	7
BCL2L12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BCL3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
BCL6	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	6
BCL7A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
BCL9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
BCL9L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BCLAF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BCOR	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	9
BCORL1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	7
BCR	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	6
BIRC3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
BIRC6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BLM	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	5
BMP5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BMPR1A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
BRAF	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	14
BRCA1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	11
BRCA2	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	10
BRD3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
BRD4	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	4
BRIP1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
BTG1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4
BTK	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	7
BUB1B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
C15orf65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C2orf44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CACNA1D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CALR	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	5
CAMTA1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CANT1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CARD11	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	6
CARS	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CASC5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CASP3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
CASP8	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	4
CASP9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBFA2T3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CBFB	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	7
CBL	1	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	8
CBLB	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3
CBLC	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3
CCDC6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CCNB1IP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CCNC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCND1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	7
CCND2	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	7
CCND3	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	7
CCNE1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	6
CCR4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
CCR7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD274	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	6
CD28	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
CD74	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3
CD79A	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
CD79B	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
CDC73	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
CDH1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	9
CDH10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDH11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CDH17	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
CDK12	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	6
CDK4	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	12
CDK6	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	10
CDKN1A	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	5
CDKN1B	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	8
CDKN2A	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	10
CDKN2C	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	6
CDX2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
CEBPA	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	8
CEP89	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CHCHD7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CHD2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CHD4	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4
CHEK2	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	6
CHIC2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CHST11	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
CIC	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	6
CIITA	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CLIP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CLTC	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CLTCL1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CNBD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
CNBP	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CNOT3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
CNTNAP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CNTRL	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
COL1A1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
COL2A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
COL3A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
COX6C	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CPEB3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CREB1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
CREB3L1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CREB3L2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CREBBP	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	7
CRLF2	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	5
CRNKL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRTC1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CRTC3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CSF1R	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	11
CSF3R	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	5
CSMD3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTCF	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	6
CTNNA2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTNNB1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	11
CTNND1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
CTNND2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CUL3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
CUX1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CXCR4	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	4
CYLD	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
CYP2C8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
CYSLTR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
DAXX	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
DCAF12L2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DCC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DCTN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDB2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
DDIT3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
DDR2	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	7
DDX10	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
DDX3X	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5
DDX5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
DDX6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
DEK	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
DGCR8	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3
DICER1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
DNAJB1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
DNM2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
DNMT3A	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	8
DROSHA	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3
DUX4L1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
EBF1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
ECT2L	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
EED	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3
EGFR	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	14
EIF1AX	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
EIF3E	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EIF4A2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ELF3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
ELF4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ELK4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ELL	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ELN	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
EML4	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3
EP300	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	6
EPAS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
EPHA3	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
EPHA7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
EPS15	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ERBB2	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	13
ERBB3	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	10
ERBB4	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	11
ERC1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ERCC2	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	7
ERCC3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ERCC4	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3
ERCC5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ERG	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	5
ESR1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	8
ETNK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ETV1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	5
ETV4	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	5
ETV5	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	5
ETV6	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	7
EWSR1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
EXT1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
EXT2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
EZH2	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	10
EZR	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
FAM131B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM135B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM46C	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
FAM47C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FANCA	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	6
FANCC	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	6
FANCD2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
FANCE	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
FANCF	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
FANCG	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
FAS	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
FAT1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
FAT3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FAT4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FBLN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBXO11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
FBXW7	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	11
FCGR2B	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
FCRL4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FEN1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
FES	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FEV	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FGFR1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	15
FGFR1OP	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FGFR2	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	13
FGFR3	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	12
FGFR4	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	5
FH	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
FHIT	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
FIP1L1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FKBP9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FLCN	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3
FLI1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FLNA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
FLT3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16
FLT4	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	7
FNBP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FOXA1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
FOXL2	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	5
FOXO1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	4
FOXO3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FOXO4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FOXP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FOXR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FSTL3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
FUBP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
FUS	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
GAS7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
GATA1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	6
GATA2	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	8
GATA3	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	6
GLI1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
GMPS	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
GNA11	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	9
GNAQ	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	9
GNAS	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	8
GOLGA5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
GOPC	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
GPC3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
GPC5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPHN	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
GRIN2A	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
GRM3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
H3F3A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4
H3F3B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HERPUD1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HEY1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HIF1A	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	5
HIP1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HIST1H3B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
HIST1H4I	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HLA-A	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	4
HLF	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HMGA1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HMGA2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HMGN2P46	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HNF1A	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	4
HNRNPA2B1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HOOK3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HOXA11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HOXA13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HOXA9	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
HOXC11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HOXC13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HOXD11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HOXD13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
HRAS	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	10
HSP90AA1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	5
HSP90AB1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	4
ID3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3
IDH1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	12
IDH2	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	11
IGF2BP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGH	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
IGK	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
IGL	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
IKBKB	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
IKZF1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	7
IL2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
IL21R	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
IL6ST	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
IL7R	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	7
IRF4	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
IRS4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ISX	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ITGAV	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
ITK	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
JAK1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	7
JAK2	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	13
JAK3	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	10
JAZF1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
JUN	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	5
KAT6A	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
KAT6B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
KAT7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNJ5	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3
KDM5A	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4
KDM5C	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
KDM6A	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	8
KDR	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	10
KDSR	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
KEAP1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	5
